asset_id,name,type,score
asset-000,server-632.example.com,Database,0.3520082615573885
asset-001,server-909.example.com,Container,0.42524495384589656
asset-002,server-575.example.com,Database,0.813191677290979
asset-003,server-232.example.com,VM,0.8614524039662058
asset-004,server-143.example.com,Storage,0.28321298191766686
asset-005,server-977.example.com,VM,0.8691222362159723
asset-006,server-917.example.com,Database,0.8818905679313374
asset-007,server-684.example.com,VM,0.7819466680280487
asset-008,server-888.example.com,Storage,0.7735921189679446
asset-009,server-691.example.com,Container,0.8422047358152546
